,df,icao,crc_valid,capability,capability_text,typecode,bds,subtype,selected_altitude,selected_altitude_source,baro_pressure_setting,selected_heading,nac_p,nic_baro,sil,autopilot,vnav_mode,altitude_hold_mode,approach_mode,lnav_mode,tcas_operational,flight_status,flight_status_text,downlink_request,utility_message,altitude,squawk,icao_verified,magnetic_heading,indicated_airspeed,mach,baro_vertical_rate,inertial_vertical_rate,nac_v,groundspeed,track,vr_source,vertical_rate,geo_minus_baro,surveillance_status,nic_b,cpr_format,cpr_lat,cpr_lon,nuc_p,vertical_status,cross_link_capability,sensitivity_level,reply_information,supported_bds,version,nic_supplement_a,hrd,capability_class,operational_mode,sil_supplement,roll,true_track,track_rate,true_airspeed,selected_altitude_mcp,emergency_state
42,11,7816A1,True,5.0,"Level 2+, airborne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,11,7816A1,True,5.0,"Level 2+, airborne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,11,7816A1,True,5.0,"Level 2+, airborne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,4,3C6542,True,,,,,,,,,,,,,,,,,,,0.0,"No alert, no SPI, airborne",0.0,0.0,825.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,7816A1,True,,,,,,,,,,,,,,,,,,,,,,,35000.0,,,,,,,,,,,,,,,,,,,,airborne,1.0,7.0,3.0,,,,,,,,,,,,,
47,20,7816A1,True,,,,"1,7",,,,,,,,,,,,,,,,,,,35000.0,,False,,,,,,,,,,,,,,,,,,,,,,"['0,5', '0,6', '0,7', '0,8', '0,9', '0,A', '2,0', '4,0', '5,0', '5,F', '6,0']",,,,,,,,,,,,
48,4,7816A1,True,,,,,,,,,,,,,,,,,,,0.0,"No alert, no SPI, airborne",0.0,0.0,35000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,11,7816A1,True,5.0,"Level 2+, airborne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,11,7816A1,True,5.0,"Level 2+, airborne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,4,7816A1,True,,,,,,,,,,,,,,,,,,,0.0,"No alert, no SPI, airborne",0.0,0.0,35000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
